number,zip,"lat,long",city,pop
302,37861,"36.240743, -83.513713","Rutledge, Tennessee","7,123"
303,38579,"35.827774, -85.550783","Quebeck, Tennessee","1,054"
304,37362,"35.040963, -84.738207","Oldfort, Tennessee","2,776"
305,38201,"36.125312, -88.528535","Mc Kenzie, Tennessee","9,773"
306,38317,"36.057937, -88.263813","Bruceton, Tennessee","2,692"
307,38001,"35.816186, -89.149391","Alamo, Tennessee","4,456"
308,38478,"35.210923, -87.010869","Pulaski, Tennessee","17,903"
309,38563,"36.229735, -86.049263","Gordonsville, Tennessee","1,858"
310,38363,"35.685853, -88.100268","Parsons, Tennessee","5,857"
311,38008,"35.247215, -89.001822","Bolivar, Tennessee","10,579"
312,37326,"35.032250, -84.377420","Ducktown, Tennessee",625
313,37034,"35.641822, -86.692242","Chapel Hill, Tennessee","4,907"
314,37031,"36.366154, -86.292718","Castalian Springs, Tennessee","2,716"
315,37370,"35.357756, -84.695738","Riceville, Tennessee","3,911"
316,38559,"35.797770, -85.487902","Doyle, Tennessee","1,199"
317,38474,"35.517968, -87.226224","Mount Pleasant, Tennessee","7,044"
318,37052,"36.368892, -87.405159","Cunningham, Tennessee","2,535"
319,37324,"35.239373, -85.991204","Decherd, Tennessee","4,996"
320,38327,"35.240502, -88.289088","Crump, Tennessee",508
321,37809,"36.156247, -83.030688","Midway, Tennessee","2,098"
322,37826,"35.558727, -84.594197","Niota, Tennessee","3,607"
323,38015,"35.556935, -89.823415","Burlison, Tennessee","2,878"
324,37873,"36.526270, -82.843047","Surgoinsville, Tennessee","4,268"
325,37074,"36.426436, -86.152749","Hartsville, Tennessee","6,297"
326,37397,"35.212948, -85.517337","Whitwell, Tennessee","9,690"
327,37375,"35.150642, -85.890914","Sewanee, Tennessee","3,701"
328,37333,"35.154599, -84.331684","Farner, Tennessee",704
329,38258,"36.032792, -88.619287","Trezevant, Tennessee","1,643"
330,38558,"36.054837, -84.922626","Crossville, Tennessee","9,608"
331,38330,"36.070503, -89.034414","Dyer, Tennessee","4,424"
332,38340,"35.401322, -88.683250","Henderson, Tennessee","11,752"
333,37308,"35.342635, -84.993756","Birchwood, Tennessee","2,406"
334,38063,"35.743099, -89.615785","Ripley, Tennessee","16,574"
335,38021,"35.877711, -89.172962","Crockett Mills, Tennessee",88
336,37313,"35.362568, -85.698606","Coalmont, Tennessee","1,435"
337,38225,"36.324019, -88.688992","Dresden, Tennessee","6,534"
338,37687,"36.179017, -82.092629","Roan Mountain, Tennessee","5,325"
339,37373,"35.399958, -85.110152","Sale Creek, Tennessee","2,658"
340,37012,"36.075985, -86.000420","Alexandria, Tennessee","2,009"
341,38235,"36.005743, -88.568793","Mc Lemoresville, Tennessee",227
342,38382,"35.968463, -88.984393","Trenton, Tennessee","9,866"
343,38469,"35.071484, -87.419694","Loretto, Tennessee","3,921"
344,38456,"35.338613, -87.265190","Ethridge, Tennessee","4,217"
345,37722,"35.814831, -83.202699","Cosby, Tennessee","5,201"
346,37352,"35.277520, -86.353027","Lynchburg, Tennessee","3,031"
347,37014,"35.863935, -86.651934","Arrington, Tennessee","1,588"
348,37846,"35.679307, -84.481891","Philadelphia, Tennessee","4,407"
349,37691,"36.371662, -81.756681","Trade, Tennessee",885
350,37322,"35.499366, -84.809587","Decatur, Tennessee","7,885"
351,37360,"35.437596, -86.254339","Normandy, Tennessee","1,642"
352,38012,"35.610362, -89.274004","Brownsville, Tennessee","15,134"
353,38583,"35.936185, -85.429518","Sparta, Tennessee","21,328"
354,37335,"35.068898, -86.403992","Flintville, Tennessee","2,667"
355,37190,"35.832371, -86.056687","Woodbury, Tennessee","7,963"
356,38059,"36.115718, -89.239733","Newbern, Tennessee","6,494"
357,38451,"35.460534, -86.992239","Culleoka, Tennessee","4,084"
358,37870,"36.470673, -83.840995","Speedwell, Tennessee","4,565"
359,37325,"35.251371, -84.591697","Delano, Tennessee","1,561"
360,38372,"35.165582, -88.149011","Savannah, Tennessee","17,184"
361,38310,"35.256558, -88.404209","Adamsville, Tennessee","5,508"
362,38366,"35.479000, -88.741273","Pinson, Tennessee","2,153"
363,38344,"35.978164, -88.424138","Huntingdon, Tennessee","9,176"
364,37340,"35.021988, -85.519895","Guild, Tennessee",764
365,37879,"36.499169, -83.451477","Tazewell, Tennessee","9,771"
366,37036,"36.238196, -87.278159","Charlotte, Tennessee","5,353"
367,37317,"35.016471, -84.425492","Copperhill, Tennessee","2,471"
368,37037,"35.703085, -86.351273","Christiana, Tennessee","4,191"
369,38260,"36.360777, -89.200363","Troy, Tennessee","3,776"
370,38326,"35.048371, -88.286046","Counce, Tennessee","2,451"
371,38547,"36.149648, -86.007626","Brush Creek, Tennessee","1,517"
372,37715,"36.576216, -83.962066","Clairfield, Tennessee","1,108"
373,37022,"36.512878, -86.316197","Bethpage, Tennessee","4,529"
374,38545,"36.231467, -85.661180","Bloomington Springs, Tennessee","1,315"
375,38075,"35.381986, -89.135495","Whiteville, Tennessee","6,734"
376,37309,"35.301912, -84.741487","Calhoun, Tennessee","2,152"
377,37061,"36.276541, -87.663027","Erin, Tennessee","4,744"
378,38229,"36.221508, -88.603480","Gleason, Tennessee","3,062"
379,38347,"35.464395, -88.497750","Jacks Creek, Tennessee",373
380,37841,"36.507620, -84.529158","Oneida, Tennessee","8,683"
381,37880,"35.686732, -84.661507","Ten Mile, Tennessee","3,218"
382,37085,"35.954543, -86.282994","Lascassas, Tennessee","2,782"
383,37810,"36.177664, -83.101960","Mohawk, Tennessee","1,806"
384,38256,"36.301175, -88.109894","Springville, Tennessee","3,135"
385,38369,"36.131924, -88.942668","Rutherford, Tennessee","1,967"
386,38006,"35.693693, -89.089516","Bells, Tennessee","5,020"
387,37140,"35.860974, -87.660782","Only, Tennessee","1,246"
388,37060,"35.745256, -86.637365","Eagleville, Tennessee","1,777"
389,38359,"35.363576, -88.359880","Milledgeville, Tennessee",257
390,37714,"36.284145, -84.264573","Caryville, Tennessee","4,262"
391,38220,"35.995939, -88.664609","Atwood, Tennessee","2,091"
392,38316,"36.069862, -88.816891","Bradford, Tennessee","2,922"
393,38255,"36.238355, -88.859211","Sharon, Tennessee","2,339"
394,38342,"36.071740, -88.288871","Hollow Rock, Tennessee","1,635"
395,37380,"35.070937, -85.754605","South Pittsburg, Tennessee","6,210"
396,38023,"35.474533, -89.964133","Drummonds, Tennessee","2,585"
397,38468,"35.123560, -87.286661","Leoma, Tennessee","4,525"
398,37059,"35.982789, -85.919165","Dowelltown, Tennessee","1,673"
399,37046,"35.770700, -86.729990","College Grove, Tennessee","3,074"
400,38462,"35.527425, -87.543752","Hohenwald, Tennessee","9,788"
401,37680,"36.584618, -81.757046","Laurel Bloomery, Tennessee",539
402,38552,"36.201821, -85.818053","Chestnut Mound, Tennessee",569
403,38549,"36.562131, -85.149087","Byrdstown, Tennessee","3,581"
404,38337,"35.791474, -89.018613","Gadsden, Tennessee","1,541"
405,38562,"36.352921, -85.633074","Gainesboro, Tennessee","6,275"
406,38483,"35.440767, -87.333653","Summertown, Tennessee","4,595"
407,37888,"36.312301, -83.597917","Washburn, Tennessee","2,563"
408,37178,"36.321820, -87.780974","Tennessee Ridge, Tennessee","1,927"
409,37327,"35.443552, -85.415350","Dunlap, Tennessee","8,928"
410,37713,"36.081454, -83.134295","Bybee, Tennessee","1,464"
411,38449,"35.040439, -86.818172","Ardmore, Tennessee","2,697"
412,38581,"35.741040, -85.620827","Rock Island, Tennessee","4,174"
413,37332,"35.600587, -84.949552","Evensville, Tennessee","2,339"
414,37339,"35.367471, -85.626123","Gruetli Laager, Tennessee","2,014"
415,38041,"35.659640, -89.704489","Henning, Tennessee","4,964"
416,38230,"36.155265, -88.768315","Greenfield, Tennessee","4,009"
417,37142,"36.412077, -87.502278","Palmyra, Tennessee","1,595"
418,38551,"36.555172, -85.503086","Celina, Tennessee","4,094"
419,37032,"36.519743, -87.021740","Cedar Hill, Tennessee","3,271"
420,37141,"36.614143, -86.698360","Orlinda, Tennessee",906
421,37051,"36.303018, -87.405856","Cumberland Furnace, Tennessee","3,038"
422,37171,"36.365289, -87.301805","Southside, Tennessee",951
423,37328,"35.036942, -86.357374","Elora, Tennessee","1,333"
424,38079,"36.413327, -89.469896","Tiptonville, Tennessee","5,757"
425,37848,"36.241221, -83.677489","Powder Springs, Tennessee",301
426,37316,"34.998420, -84.718033","Conasauga, Tennessee",151
427,38574,"36.143643, -85.229289","Monterey, Tennessee","7,432"
428,38232,"36.343792, -89.322002","Hornbeak, Tennessee","2,254"
429,38460,"35.093138, -87.151103","Goodspring, Tennessee","1,312"
430,38357,"35.044826, -88.415338","Michie, Tennessee","2,623"
431,38553,"36.209522, -85.008002","Clarkrange, Tennessee","2,147"
432,38037,"35.794739, -89.393020","Gates, Tennessee","2,052"
433,37150,"36.541483, -85.810410","Red Boiling Springs, Tennessee","4,792"
434,38374,"35.509391, -88.223621","Scotts Hill, Tennessee","1,636"
435,38313,"35.604517, -88.621051","Beech Bluff, Tennessee","2,836"
436,38049,"35.390333, -89.538210","Mason, Tennessee","4,774"
437,37342,"35.391968, -85.948000","Hillsboro, Tennessee","3,080"
438,37184,"36.076402, -86.143136","Watertown, Tennessee","5,505"
439,37018,"35.630679, -86.211258","Beechgrove, Tennessee","1,647"
440,37345,"35.036473, -86.242930","Huntland, Tennessee","2,287"
441,37028,"36.634248, -87.854188","Bumpus Mills, Tennessee",497
442,38587,"35.864761, -85.613998","Walling, Tennessee","1,216"
443,37026,"35.695594, -86.104843","Bradyville, Tennessee","2,117"
444,37058,"36.444339, -87.876719","Dover, Tennessee","6,635"
445,37869,"36.514752, -83.244970","Sneedville, Tennessee","4,877"
446,37829,"36.001020, -84.617381","Oakdale, Tennessee","1,560"
447,38488,"35.041960, -86.670916","Taft, Tennessee","2,340"
448,37010,"36.575109, -87.101199","Adams, Tennessee","3,114"
449,37019,"35.391058, -86.700557","Belfast, Tennessee",972
450,37016,"35.956367, -86.091671","Auburntown, Tennessee",599
451,37118,"35.923474, -86.192518","Milton, Tennessee","1,259"
452,37357,"35.593332, -85.921699","Morrison, Tennessee","5,163"
453,38556,"36.406761, -84.918949","Jamestown, Tennessee","11,980"
454,38068,"35.271633, -89.348223","Somerville, Tennessee","9,895"
455,38370,"35.382713, -88.239356","Saltillo, Tennessee",673
456,38473,"35.026020, -87.161665","Minor Hill, Tennessee","1,083"
457,38379,"35.164501, -88.429150","Stantonville, Tennessee","1,016"
458,38560,"36.226979, -85.867548","Elmwood, Tennessee","1,278"
459,38334,"35.349837, -88.586353","Finger, Tennessee","1,753"
460,38040,"35.879972, -89.484717","Halls, Tennessee","5,347"
461,38066,"35.076505, -89.534306","Rossville, Tennessee","2,209"
462,37047,"35.318555, -86.839155","Cornersville, Tennessee","2,272"
463,38390,"35.837589, -88.370824","Yuma, Tennessee",969
464,37020,"35.634389, -86.407093","Bell Buckle, Tennessee","3,559"
465,37185,"36.064237, -87.857679","Waverly, Tennessee","8,441"
466,38482,"35.779069, -87.152649","Santa Fe, Tennessee","1,476"
467,38339,"35.054630, -88.511153","Guys, Tennessee",684
468,37657,"36.009624, -82.569201","Flag Pond, Tennessee",867
469,37183,"35.494486, -86.303180","Wartrace, Tennessee","2,767"
470,37729,"36.506667, -84.028787","Duff, Tennessee","1,534"
471,38368,"35.510913, -88.348130","Reagan, Tennessee","1,859"
472,38315,"35.269898, -88.631695","Bethel Springs, Tennessee","3,741"
473,37338,"35.427296, -85.216944","Graysville, Tennessee","2,519"
474,38367,"35.052128, -88.626992","Ramer, Tennessee","2,623"
475,38567,"36.135578, -85.916750","Hickman, Tennessee",777
476,38457,"35.029008, -87.287926","Five Points, Tennessee",895
477,37033,"35.765332, -87.509315","Centerville, Tennessee","7,380"
478,37640,"36.336067, -81.978182","Butler, Tennessee","3,669"
479,38345,"35.598180, -88.505481","Huron, Tennessee","1,885"
480,37365,"35.377809, -85.547658","Palmer, Tennessee","1,530"
481,37367,"35.639774, -85.211962","Pikeville, Tennessee","9,880"
482,38231,"36.218331, -88.412613","Henry, Tennessee","2,037"
483,38034,"35.911414, -89.236962","Friendship, Tennessee","3,375"
484,37149,"35.802771, -86.195165","Readyville, Tennessee","1,888"
485,37050,"36.371745, -87.624045","Cumberland City, Tennessee","1,786"
486,38222,"36.438223, -88.183701","Buchanan, Tennessee","2,230"
487,38233,"36.200817, -89.041594","Kenton, Tennessee","3,005"
488,38580,"36.277339, -85.290851","Rickman, Tennessee","1,045"
489,37348,"35.121806, -86.431102","Kelso, Tennessee","1,028"
490,38352,"35.529455, -88.533846","Luray, Tennessee",564
491,37866,"36.357963, -83.841285","Sharps Chapel, Tennessee","1,521"
492,38057,"35.061089, -89.364782","Moscow, Tennessee","3,586"
493,38425,"35.415637, -87.958243","Clifton, Tennessee","3,684"
494,38251,"36.458930, -88.355755","Puryear, Tennessee","2,797"
495,38477,"35.064923, -86.993079","Prospect, Tennessee","2,987"
496,38376,"35.130665, -88.347373","Shiloh, Tennessee",410
497,37057,"36.418109, -86.029944","Dixon Springs, Tennessee",839
498,37765,"36.577861, -83.068082","Kyles Ford, Tennessee",552
499,37396,"35.012139, -85.482955","Whiteside, Tennessee",355
500,38259,"36.199152, -89.183658","Trimble, Tennessee",948
501,37819,"36.533309, -84.230301","Newcomb, Tennessee",746
502,38371,"35.424293, -88.295085","Sardis, Tennessee","1,441"
503,38582,"36.094825, -85.750823","Silver Point, Tennessee","1,403"
504,37391,"35.076070, -84.435668","Turtletown, Tennessee","1,352"
505,38328,"35.668624, -88.216010","Darden, Tennessee",860
506,38356,"35.438418, -88.893810","Medon, Tennessee","2,219"
507,37305,"35.470614, -85.683974","Beersheba Springs, Tennessee",776
508,38573,"36.483994, -85.202603","Monroe, Tennessee","2,027"
509,38575,"36.553145, -85.629295","Moss, Tennessee","1,163"
510,37885,"35.512780, -84.115364","Vonore, Tennessee","3,750"
511,38329,"35.536869, -88.107281","Decaturville, Tennessee","3,141"
512,37881,"36.406476, -83.342508","Thorn Hill, Tennessee","1,986"
513,37892,"36.553175, -84.363165","Winfield, Tennessee","1,811"
514,37145,"36.377361, -85.906530","Pleasant Shade, Tennessee","1,813"
515,38240,"36.245091, -89.318119","Obion, Tennessee","2,375"
516,37385,"35.336793, -84.228286","Tellico Plains, Tennessee","7,874"
517,37101,"36.054263, -87.639917","Mc Ewen, Tennessee","5,891"
518,38052,"35.090254, -88.917801","Middleton, Tennessee","3,628"
519,38569,"36.107137, -85.856058","Lancaster, Tennessee",374
520,38568,"36.434814, -85.470191","Hilham, Tennessee","1,832"
521,38039,"35.067070, -89.182722","Grand Junction, Tennessee","2,166"
522,38221,"36.235601, -88.037648","Big Sandy, Tennessee","3,258"
523,38541,"36.521902, -85.342550","Allons, Tennessee","1,416"
524,38381,"35.357200, -88.971358","Toone, Tennessee","1,567"
525,38450,"35.187288, -87.771406","Collinwood, Tennessee","3,017"
526,38472,"35.376649, -87.044685","Lynnville, Tennessee","2,710"
527,37753,"35.822979, -83.100424","Hartford, Tennessee",814
528,38321,"35.845504, -88.532266","Cedar Grove, Tennessee","2,216"
529,37301,"35.417716, -85.793529","Altamont, Tennessee","1,589"
530,37095,"35.905050, -86.002492","Liberty, Tennessee","1,968"
531,37181,"36.244403, -87.505833","Vanleer, Tennessee","1,582"
532,37151,"36.329392, -86.038012","Riddleton, Tennessee",595
533,37137,"35.884160, -87.505366","Nunnelly, Tennessee","2,029"
534,38476,"35.844660, -87.215746","Primm Springs, Tennessee","1,058"
535,38076,"35.136965, -89.446056","Williston, Tennessee",547
536,37079,"36.506966, -87.652500","Indian Mound, Tennessee","2,436"
537,37872,"36.269542, -84.674828","Sunbright, Tennessee","1,984"
538,37756,"36.300248, -84.412704","Huntsville, Tennessee","2,744"
539,38485,"35.338145, -87.770726","Waynesboro, Tennessee","6,452"
540,38548,"36.171635, -85.772273","Buffalo Valley, Tennessee",634
541,37847,"36.419979, -84.269855","Pioneer, Tennessee","3,001"
542,38504,"36.386889, -84.739801","Allardt, Tennessee",822
543,38554,"36.252407, -85.164830","Crawford, Tennessee",872
544,38388,"35.773219, -88.328352","Wildersville, Tennessee","1,766"
545,37738,"35.671239, -83.474798","Gatlinburg, Tennessee","4,981"
546,37144,"35.300002, -86.638140","Petersburg, Tennessee","3,507"
547,38463,"35.073883, -87.615241","Iron City, Tennessee","2,639"
548,38585,"35.690323, -85.416390","Spencer, Tennessee","4,386"
549,38333,"36.132111, -87.985288","Eva, Tennessee",574
550,38392,"35.467648, -89.042302","Mercer, Tennessee",737
551,37366,"35.328323, -85.851378","Pelham, Tennessee",913
552,37852,"36.330224, -84.584598","Robbins, Tennessee","2,655"
553,38046,"35.050280, -89.224950","La Grange, Tennessee",110
554,38348,"35.871585, -88.646506","Lavinia, Tennessee","1,169"
555,38332,"35.414289, -88.417498","Enville, Tennessee","1,044"
556,38391,"35.546571, -88.992177","Denmark, Tennessee","1,262"
557,38044,"35.199329, -88.809547","Hornsby, Tennessee",944
558,37359,"35.199368, -86.415696","Mulberry, Tennessee",585
559,37374,"35.168410, -85.646585","Sequatchie, Tennessee","1,783"
560,37306,"35.098113, -86.154782","Belvidere, Tennessee","2,333"
561,38361,"35.322268, -88.301895","Morris Chapel, Tennessee",977
562,38042,"35.145160, -89.137403","Hickory Valley, Tennessee",868
563,37770,"36.152396, -84.666787","Lancing, Tennessee","2,589"
564,37688,"36.545442, -81.882882","Shady Valley, Tennessee","1,123"
565,37097,"35.779865, -87.823480","Lobelville, Tennessee","2,064"
566,38067,"35.081609, -89.041788","Saulsbury, Tennessee","1,312"
567,38461,"35.596889, -87.338462","Hampshire, Tennessee","1,247"
568,38069,"35.465338, -89.354740","Stanton, Tennessee","2,523"
569,38453,"35.123141, -86.807548","Dellrose, Tennessee",237
570,38080,"36.207086, -89.519208","Ridgely, Tennessee","2,628"
571,37723,"35.918914, -84.866409","Crab Orchard, Tennessee",887
572,38253,"36.293824, -89.040359","Rives, Tennessee","1,014"
573,38487,"35.718427, -87.233402","Williamsport, Tennessee",928
574,38454,"35.687723, -87.389548","Duck River, Tennessee","1,126"
575,38459,"35.193152, -86.802810","Frankewing, Tennessee",344
576,37337,"35.799105, -84.904005","Grandview, Tennessee","1,405"
577,37096,"35.612807, -87.870302","Linden, Tennessee","5,474"
578,37878,"35.638235, -83.863606","Tallassee, Tennessee",529
579,37727,"35.892116, -83.004810","Del Rio, Tennessee","2,138"
580,38236,"36.174890, -88.257900","Mansfield, Tennessee",697
581,37710,"36.158442, -84.316768","Briceville, Tennessee","1,441"
582,37726,"36.204182, -84.830473","Deer Lodge, Tennessee","1,709"
583,38452,"35.080509, -87.789813","Cypress Inn, Tennessee","1,008"
584,38226,"36.476217, -88.670226","Dukedom, Tennessee",414
585,37731,"36.537183, -82.998515","Eidson, Tennessee",891
586,38224,"36.387017, -88.492197","Cottage Grove, Tennessee",975
587,38564,"36.275933, -85.735915","Granville, Tennessee",474
588,38341,"35.882040, -88.104186","Holladay, Tennessee","2,213"
589,38241,"36.427772, -88.591844","Palmersville, Tennessee",888
590,38061,"35.067042, -88.766924","Pocahontas, Tennessee","1,035"
591,37882,"35.658932, -83.763518","Townsend, Tennessee","2,415"
592,37175,"36.324726, -87.888932","Stewart, Tennessee","1,040"
593,38311,"35.449567, -88.124506","Bath Springs, Tennessee",950
594,38543,"36.380225, -85.150534","Alpine, Tennessee",497
595,37369,"35.196386, -84.495105","Reliance, Tennessee","1,034"
596,38380,"35.789889, -88.032881","Sugar Tree, Tennessee",502
597,38486,"35.172506, -87.538424","Westpoint, Tennessee",889
598,38577,"36.564918, -84.922503","Pall Mall, Tennessee","1,236"
599,38318,"35.950509, -88.258084","Buena Vista, Tennessee",513
600,38542,"36.315028, -85.205336","Allred, Tennessee",42
601,38588,"36.446386, -85.730671","Whitleyville, Tennessee","1,009"
602,38475,"35.265671, -88.014064","Olivehill, Tennessee",622
603,38387,"35.872920, -88.277462","Westport, Tennessee",389
604,37078,"35.910747, -87.788565","Hurricane Mills, Tennessee",714
605,38471,"35.083901, -87.932397","Lutts, Tennessee",619
606,37376,"35.050411, -85.956005","Sherwood, Tennessee",502
607,38589,"36.288383, -85.074008","Wilder, Tennessee",141
608,38030,"35.974140, -89.582619","Finley, Tennessee",220
609,38131,"35.065335, -89.998640","Memphis, Tennessee",1
610,38047,"36.031840, -89.631994","Lenox, Tennessee",93
